LayoutIndex, AlgorithmName, Status(0=FAIL 1=OK 3=TIMEOUT), UserTotalTime, UserAverageTime, UserSize, DataChunkSize(k), ChecksumChunkSize(r), RunTimeCost, StorageSize, POISize, MaxQuota, SortedQuota
0, SMP-USER,1,0.877252496,0.219313124,4,6,6,0.012160027,25,30,3, 0|0|0|0|1|1|1|1|1|1|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3
0, SMP-SERVER,1,0.885886065,0.221471516,4,6,6,0.00592466,25,30,3, 0|0|0|0|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3
0, Greedy-DT,1,0.947319269,0.236829817,4,6,6,0.001955094,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
0, Greedy-CK,1,0.931493268,0.232873317,4,6,6,9.35E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
0, Greedy-RD,1,0.931544536,0.232886134,4,6,6,0.001029417,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
0, BALANCE,1,0.972603985,0.243150996,4,6,6,0.001196356,25,30,3, 1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0, Greedy-CNT-D,1,0.949568126,0.237392031,4,6,6,0.001207014,25,30,3, 0|0|0|0|1|1|1|1|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3
0, Greedy-CNT-C,1,0.962168206,0.240542052,4,6,6,0.001073522,25,30,3, 0|0|0|0|1|1|1|1|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3
0, MILP-OPT,2,0.891943282,0.22298582,4,6,6,60.00710011,25,30,3, 0|0|0|0|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3
1, SMP-USER,1,1.374161007,0.343540252,4,6,6,0.003105011,25,30,3, 0|0|1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3
1, SMP-SERVER,1,1.368901878,0.342225469,4,6,6,0.004169108,25,30,3, 0|0|1|1|1|1|1|1|1|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3
1, Greedy-DT,1,1.654568412,0.413642103,4,6,6,6.22E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
1, Greedy-CK,1,1.672877963,0.418219491,4,6,6,6.57E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
1, Greedy-RD,1,1.660198143,0.415049536,4,6,6,6.70E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
1, BALANCE,1,1.652078925,0.413019731,4,6,6,5.23E-04,25,30,3, 1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
1, Greedy-CNT-D,1,1.443003065,0.360750766,4,6,6,6.26E-04,25,30,3, 0|0|0|0|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3
1, Greedy-CNT-C,1,1.372407252,0.343101813,4,6,6,5.80E-04,25,30,3, 0|0|0|0|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3
1, MILP-OPT,2,1.404734108,0.351183527,4,6,6,60.01062369,25,30,3, 0|0|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3
2, SMP-USER,1,1.410592816,0.352648204,4,6,6,0.002954688,25,30,3, 0|0|0|0|0|1|1|1|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3
2, SMP-SERVER,1,1.465494729,0.366373682,4,6,6,0.003717172,25,30,3, 0|0|0|0|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3
2, Greedy-DT,1,1.502150514,0.375537628,4,6,6,5.53E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
2, Greedy-CK,1,1.514539596,0.378634899,4,6,6,5.24E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
2, Greedy-RD,1,1.502065162,0.37551629,4,6,6,6.22E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
2, BALANCE,1,1.880213417,0.470053354,4,6,6,4.38E-04,25,30,3, 1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
2, Greedy-CNT-D,1,1.38622845,0.346557112,4,6,6,5.14E-04,25,30,3, 0|0|0|0|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3
2, Greedy-CNT-C,1,1.406481788,0.351620447,4,6,6,5.34E-04,25,30,3, 0|0|0|0|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3
2, MILP-OPT,2,1.380881536,0.345220384,4,6,6,60.00845078,25,30,3, 0|0|0|0|0|0|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3
3, SMP-USER,1,1.007925321,0.25198133,4,6,6,0.002660468,25,30,3, 0|0|0|0|0|1|1|1|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3
3, SMP-SERVER,1,1.035249175,0.258812294,4,6,6,0.003966142,25,30,3, 0|0|0|0|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3
3, Greedy-DT,1,1.032123668,0.258030917,4,6,6,4.09E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
3, Greedy-CK,1,1.028138289,0.257034572,4,6,6,4.53E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
3, Greedy-RD,1,1.026220498,0.256555124,4,6,6,4.05E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
3, BALANCE,1,1.11721517,0.279303792,4,6,6,2.93E-04,25,30,3, 1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
3, Greedy-CNT-D,1,0.973723425,0.243430856,4,6,6,3.62E-04,25,30,3, 0|0|0|1|1|1|1|1|1|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3
3, Greedy-CNT-C,1,0.990415679,0.24760392,4,6,6,3.60E-04,25,30,3, 0|0|0|1|1|1|1|1|1|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3
3, MILP-OPT,2,0.998567104,0.249641776,4,6,6,60.03374405,25,30,3, 0|0|0|1|1|1|1|1|1|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3
4, SMP-USER,1,1.034049774,0.258512443,4,6,6,0.001509635,25,30,3, 0|0|0|1|1|1|1|1|1|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3
4, SMP-SERVER,1,1.026180951,0.256545238,4,6,6,0.001923211,25,30,3, 0|0|1|1|1|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3
4, Greedy-DT,1,1.097701422,0.274425355,4,6,6,2.53E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
4, Greedy-CK,1,1.071139106,0.267784776,4,6,6,2.72E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
4, Greedy-RD,1,1.091420644,0.272855161,4,6,6,2.95E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
4, BALANCE,1,1.136063024,0.284015756,4,6,6,2.57E-04,25,30,3, 1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
4, Greedy-CNT-D,1,1.013282407,0.253320602,4,6,6,3.12E-04,25,30,3, 1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3
4, Greedy-CNT-C,1,1.052735838,0.26318396,4,6,6,3.27E-04,25,30,3, 1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3
4, MILP-OPT,2,1.026441764,0.256610441,4,6,6,60.00813746,25,30,3, 1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3
5, SMP-USER,1,1.657323987,0.414330997,4,6,6,0.001703592,25,30,3, 0|0|0|0|0|0|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3
5, SMP-SERVER,1,1.67894626,0.419736565,4,6,6,0.001717104,25,30,3, 0|0|0|0|0|0|1|1|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3
5, Greedy-DT,1,1.712727136,0.428181784,4,6,6,1.78E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
5, Greedy-CK,1,1.693293582,0.423323395,4,6,6,1.67E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
5, Greedy-RD,1,1.708503597,0.427125899,4,6,6,2.28E-04,25,30,3, 0|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
5, BALANCE,1,1.755266763,0.438816691,4,6,6,1.97E-04,25,30,3, 1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
5, Greedy-CNT-D,1,1.628083782,0.407020946,4,6,6,2.77E-04,25,30,3, 0|0|0|0|1|1|1|1|1|1|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3
5, Greedy-CNT-C,1,1.704555152,0.426138788,4,6,6,2.77E-04,25,30,3, 0|0|0|0|1|1|1|1|1|1|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3
