LayoutIndex, AlgorithmName, Status(0=FAIL 1=OK 3=TIMEOUT), UserTotalTime, UserAverageTime, UserSize, DataChunkSize(k), ChecksumChunkSize(r), RunTimeCost, StorageSize, POISize, MaxQuota, SortedQuota
0, SMP-USER, 1, 0.778367339811578, 0.1945918349528945, 4,4, 4, 0.022242501, 25, 30, 3, 0|0|0|0|0|0|0|0|0|0|1|1|1|2|2|2|2|2|2|2|3|3|3|3|3
0, SMP-SERVER, 1, 0.7927776382611453, 0.19819440956528633, 4,4, 4, 0.008850442, 25, 30, 3, 0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|2|2|2|3|3|3|3|3|3|3
0, Greedy-DT, 1, 0.9040892970117121, 0.22602232425292804, 4,4, 4, 0.003601206, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
0, Greedy-CK, 1, 0.9044347746389849, 0.22610869365974623, 4,4, 4, 0.001365545, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
0, Greedy-RD, 1, 0.9050568589472732, 0.2262642147368183, 4,4, 4, 0.001501575, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
0, BALANCE, 1, 1.056069925376769, 0.26401748134419223, 4,4, 4, 0.00130375, 25, 30, 3, 1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2
0, Greedy-CNT-D, 1, 0.8456071983370177, 0.21140179958425442, 4,4, 4, 0.001701707, 25, 30, 3, 0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3
0, Greedy-CNT-C, 1, 0.8443492393654303, 0.21108730984135757, 4,4, 4, 0.001640935, 25, 30, 3, 0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3
0, MILP-OPT, 2, 0.7858979276728822, 0.19647448191822056, 4,4, 4, 60.123814063, 25, 30, 3, 0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|2|2|2|3|3|3|3|3|3|3
1, SMP-USER, 1, 1.2288970288615315, 0.3072242572153829, 4,4, 4, 0.004756178, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
1, SMP-SERVER, 1, 1.3093602512415627, 0.3273400628103907, 4,4, 4, 0.004210445, 25, 30, 3, 0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|3
1, Greedy-DT, 1, 1.5235398194965764, 0.3808849548741441, 4,4, 4, 6.06265E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
1, Greedy-CK, 1, 1.5250893524259708, 0.3812723381064927, 4,4, 4, 5.98697E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
1, Greedy-RD, 1, 1.5270843279568023, 0.38177108198920057, 4,4, 4, 6.20939E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
1, BALANCE, 1, 1.6219211967178406, 0.40548029917946016, 4,4, 4, 5.07689E-4, 25, 30, 3, 1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2
1, Greedy-CNT-D, 1, 1.3094000490398208, 0.3273500122599552, 4,4, 4, 6.39386E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|0|1|1|1|2|2|2|2|2|2|2|3|3|3|3|3
1, Greedy-CNT-C, 1, 1.3191351213271711, 0.3297837803317928, 4,4, 4, 6.5311E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|0|1|1|1|2|2|2|2|2|2|2|3|3|3|3|3
1, MILP-OPT, 2, 1.259001473589126, 0.3147503683972815, 4,4, 4, 60.016216232, 25, 30, 3, 0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|2|2|2|3|3|3|3|3|3
2, SMP-USER, 1, 1.1758632261655086, 0.29396580654137716, 4,4, 4, 0.002296629, 25, 30, 3, 0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3
2, SMP-SERVER, 1, 1.1956531596780438, 0.29891328991951094, 4,4, 4, 0.003260274, 25, 30, 3, 0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3
2, Greedy-DT, 1, 1.3509241396772982, 0.33773103491932455, 4,4, 4, 5.70565E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
2, Greedy-CK, 1, 1.3589535136639754, 0.33973837841599386, 4,4, 4, 5.29876E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
2, Greedy-RD, 1, 1.3541827514691887, 0.33854568786729716, 4,4, 4, 6.8071E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
2, BALANCE, 1, 1.7407918463398888, 0.4351979615849722, 4,4, 4, 5.30536E-4, 25, 30, 3, 1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2
2, Greedy-CNT-D, 1, 1.2792385993753699, 0.31980964984384247, 4,4, 4, 7.60066E-4, 25, 30, 3, 0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|2|2|2|3|3|3|3|3
2, Greedy-CNT-C, 1, 1.2861631714320323, 0.3215407928580081, 4,4, 4, 6.25027E-4, 25, 30, 3, 0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|2|2|2|3|3|3|3|3
2, MILP-OPT, 2, 1.168885686453052, 0.292221421613263, 4,4, 4, 60.039728417, 25, 30, 3, 0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|2|2|2|3|3|3|3|3|3
3, SMP-USER, 1, 0.9666047749266978, 0.24165119373167446, 4,4, 4, 0.002117475, 25, 30, 3, 0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3
3, SMP-SERVER, 1, 0.9951453491127641, 0.24878633727819102, 4,4, 4, 0.003332276, 25, 30, 3, 0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|2|2|2|3|3|3|3|3|3
3, Greedy-DT, 1, 1.0929979732982222, 0.27324949332455556, 4,4, 4, 3.63481E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
3, Greedy-CK, 1, 1.089400882804298, 0.2723502207010745, 4,4, 4, 3.82562E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
3, Greedy-RD, 1, 1.0901948508249502, 0.27254871270623754, 4,4, 4, 5.83316E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
3, BALANCE, 1, 1.3113438600421015, 0.32783596501052537, 4,4, 4, 3.7862E-4, 25, 30, 3, 1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2
3, Greedy-CNT-D, 1, 1.0575774349502773, 0.26439435873756933, 4,4, 4, 5.18642E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|2|2|3|3|3|3|3|3|3|3
3, Greedy-CNT-C, 1, 1.0614698148002362, 0.26536745370005904, 4,4, 4, 5.12645E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|2|2|3|3|3|3|3|3|3|3
3, MILP-OPT, 2, 0.9394208686296888, 0.2348552171574222, 4,4, 4, 60.019294456, 25, 30, 3, 0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3
4, SMP-USER, 1, 0.8826909297846187, 0.22067273244615468, 4,4, 4, 0.001247987, 25, 30, 3, 0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|2|2|3|3|3|3|3|3
4, SMP-SERVER, 1, 0.9010474201843207, 0.22526185504608018, 4,4, 4, 0.002032109, 25, 30, 3, 0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|2|2|3|3|3|3|3|3
4, Greedy-DT, 1, 1.0660505486201308, 0.2665126371550327, 4,4, 4, 2.79738E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
4, Greedy-CK, 1, 1.0479496547637306, 0.26198741369093265, 4,4, 4, 2.47162E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
4, Greedy-RD, 1, 1.0527415903226858, 0.26318539758067144, 4,4, 4, 2.6793E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
4, BALANCE, 1, 1.0671203368609152, 0.2667800842152288, 4,4, 4, 2.1857E-4, 25, 30, 3, 1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2
4, Greedy-CNT-D, 1, 0.9443267021806363, 0.23608167554515908, 4,4, 4, 2.91587E-4, 25, 30, 3, 0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|3|3|3
4, Greedy-CNT-C, 1, 0.9294694204622787, 0.23236735511556966, 4,4, 4, 3.19822E-4, 25, 30, 3, 0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|3|3|3
4, MILP-OPT, 2, 0.8872455913667064, 0.2218113978416766, 4,4, 4, 60.021910654, 25, 30, 3, 0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|2|2|2|3|3|3|3|3
5, SMP-USER, 1, 1.3787800482826056, 0.3446950120706514, 4,4, 4, 9.6556E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|3|3|3|3|3|3|3
5, SMP-SERVER, 1, 1.3885313061406463, 0.3471328265351616, 4,4, 4, 0.001633915, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
5, Greedy-DT, 1, 1.4079178545112563, 0.35197946362781407, 4,4, 4, 1.32936E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
5, Greedy-CK, 1, 1.4272690949101297, 0.3568172737275324, 4,4, 4, 1.29137E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
5, Greedy-RD, 1, 1.4092273789182048, 0.3523068447295512, 4,4, 4, 1.8204E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
5, BALANCE, 1, 1.4597735679301094, 0.36494339198252734, 4,4, 4, 1.41318E-4, 25, 30, 3, 1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2
5, Greedy-CNT-D, 1, 1.375775716643178, 0.3439439291607945, 4,4, 4, 2.3528E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|3|3|3|3|3|3|3
5, Greedy-CNT-C, 1, 1.3814092531038282, 0.34535231327595706, 4,4, 4, 2.29508E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|3|3|3|3|3|3|3
5, MILP-OPT, 2, 1.381454649076647, 0.34536366226916176, 4,4, 4, 60.01390071, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|2|2|2|2|3|3|3|3|3|3
6, SMP-USER, 1, 3.1433851709369667, 0.7858462927342417, 4,4, 4, 0.001233045, 25, 30, 3, 0|0|0|0|0|0|0|0|1|1|1|1|1|1|2|2|2|2|2|2|2|3|3|3|3
6, SMP-SERVER, 1, 3.1605283727523026, 0.7901320931880756, 4,4, 4, 0.002051239, 25, 30, 3, 0|0|0|0|0|0|0|0|0|0|1|1|1|1|2|2|2|2|2|3|3|3|3|3|3
6, Greedy-DT, 1, 3.122674446172866, 0.7806686115432165, 4,4, 4, 1.4646E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
6, Greedy-CK, 1, 3.1728372449868503, 0.7932093112467126, 4,4, 4, 1.44886E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
6, Greedy-RD, 1, 3.160293314537354, 0.7900733286343385, 4,4, 4, 1.92704E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
6, BALANCE, 1, 3.294380424323691, 0.8235951060809228, 4,4, 4, 1.53315E-4, 25, 30, 3, 1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2
6, Greedy-CNT-D, 1, 3.1690582129636513, 0.7922645532409128, 4,4, 4, 2.74217E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|2|2|2|2|2|2|3|3|3|3|3
6, Greedy-CNT-C, 1, 3.153624489379158, 0.7884061223447895, 4,4, 4, 2.5748E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|2|2|2|2|2|2|3|3|3|3|3
6, MILP-OPT, 2, 3.162537083147323, 0.7906342707868308, 4,4, 4, 60.011669258, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|3|3|3|3|3|3|3
7, SMP-USER, 1, 0.9532725450100124, 0.2383181362525031, 4,4, 4, 0.001253969, 25, 30, 3, 0|0|0|0|0|0|0|0|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|3|3
7, SMP-SERVER, 1, 0.9566561485852744, 0.2391640371463186, 4,4, 4, 0.001689455, 25, 30, 3, 0|0|0|0|0|0|0|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|3
7, Greedy-DT, 1, 0.9204200512728098, 0.23010501281820245, 4,4, 4, 1.78549E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
7, Greedy-CK, 1, 0.9213114609479803, 0.23032786523699508, 4,4, 4, 1.48061E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
7, Greedy-RD, 1, 0.9219424908986524, 0.2304856227246631, 4,4, 4, 1.90679E-4, 25, 30, 3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
7, BALANCE, 1, 1.057458148713838, 0.2643645371784595, 4,4, 4, 1.61883E-4, 25, 30, 3, 1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2
7, Greedy-CNT-D, 1, 0.98271711046676, 0.24567927761669, 4,4, 4, 1.92274E-4, 25, 30, 3, 0|0|0|0|0|0|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2
