LayoutIndex, AlgorithmName, Status(0=FAIL 1=OK 3=TIMEOUT), UserTotalTime, UserAverageTime, UserSize, DataChunkSize(k), ChecksumChunkSize(r), RunTimeCost, StorageSize, POISize, MaxQuota, SortedQuota
0, SMP-USER,1,0.832127786,0.208031947,4,5,5,0.011247029,25,30,3, 0|0|0|0|0|0|0|0|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3
0, SMP-SERVER,1,0.845166975,0.211291744,4,5,5,0.005176979,25,30,3, 0|0|0|0|0|1|1|1|1|1|1|2|2|2|2|2|2|2|2|3|3|3|3|3|3
0, Greedy-DT,1,0.894153603,0.223538401,4,5,5,0.00182017,25,30,3, 0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3
0, Greedy-CK,1,0.88881435,0.222203588,4,5,5,7.14E-04,25,30,3, 0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3
0, Greedy-RD,1,0.890299935,0.222574984,4,5,5,8.83E-04,25,30,3, 0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3
0, BALANCE,1,0.95988291,0.239970728,4,5,5,6.88E-04,25,30,3, 1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0, Greedy-CNT-D,1,0.877222435,0.219305609,4,5,5,0.001699787,25,30,3, 0|0|0|0|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|3|3|3|3|3|3
0, Greedy-CNT-C,1,0.868209245,0.217052311,4,5,5,8.23E-04,25,30,3, 0|0|0|0|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|3|3|3|3|3|3
0, MILP-OPT,2,0.828014873,0.207003718,4,5,5,60.02413993,25,30,3, 0|0|0|0|0|0|0|1|1|1|1|1|2|2|2|2|3|3|3|3|3|3|3|3|3
1, SMP-USER,1,1.295748458,0.323937115,4,5,5,0.003692216,25,30,3, 0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3
1, SMP-SERVER,1,1.328280284,0.332070071,4,5,5,0.004627406,25,30,3, 0|0|0|0|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|3|3|3|3|3|3
1, Greedy-DT,1,1.609387174,0.402346794,4,5,5,6.93E-04,25,30,3, 0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3
1, Greedy-CK,1,1.588771626,0.397192906,4,5,5,6.06E-04,25,30,3, 0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3
1, Greedy-RD,1,1.599672293,0.399918073,4,5,5,6.00E-04,25,30,3, 0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3
1, BALANCE,1,1.64078368,0.41019592,4,5,5,4.87E-04,25,30,3, 1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
1, Greedy-CNT-D,1,1.364984684,0.341246171,4,5,5,6.30E-04,25,30,3, 0|0|0|0|0|0|0|0|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3
1, Greedy-CNT-C,1,1.322075011,0.330518753,4,5,5,6.54E-04,25,30,3, 0|0|0|0|0|0|0|0|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3
1, MILP-OPT,2,1.336645124,0.334161281,4,5,5,60.00417367,25,30,3, 0|0|0|0|0|1|1|1|1|1|1|1|1|2|2|2|2|3|3|3|3|3|3|3|3
2, SMP-USER,1,1.276338056,0.319084514,4,5,5,0.002591971,25,30,3, 0|0|0|0|0|0|0|1|1|1|1|1|1|2|2|3|3|3|3|3|3|3|3|3|3
2, SMP-SERVER,1,1.270990684,0.317747671,4,5,5,0.003452871,25,30,3, 0|0|0|0|0|1|1|1|1|1|1|1|2|2|2|2|2|2|3|3|3|3|3|3|3
2, Greedy-DT,1,1.45977253,0.364943132,4,5,5,5.58E-04,25,30,3, 0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3
2, Greedy-CK,1,1.4702052,0.3675513,4,5,5,4.86E-04,25,30,3, 0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3
2, Greedy-RD,1,1.468921462,0.367230365,4,5,5,5.25E-04,25,30,3, 0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3
2, BALANCE,1,1.728215839,0.43205396,4,5,5,4.64E-04,25,30,3, 1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
2, Greedy-CNT-D,1,1.333118892,0.333279723,4,5,5,5.28E-04,25,30,3, 0|0|0|0|1|1|1|1|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3
