LayoutIndex, AlgorithmName, Status(0=FAIL 1=OK 3=TIMEOUT), UserTotalTime, UserAverageTime, UserSize, DataChunkSize(k), ChecksumChunkSize(r), RunTimeCost, StorageSize, POISize, MaxQuota, SortedQuota
0, SMP-USER,1,0.885544555,0.221386139,4,2,2,0.00905585,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|2|2|2|2|3
0, SMP-SERVER,1,0.984588316,0.246147079,4,2,2,0.002205357,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|2|3
0, Greedy-DT,1,1.040077984,0.260019496,4,2,2,0.001544883,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|3|3
0, Greedy-CK,1,1.039572029,0.259893007,4,2,2,3.95E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|3|3
0, Greedy-RD,1,1.040513221,0.260128305,4,2,2,5.32E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|3|3
0, BALANCE,1,1.292448771,0.323112193,4,2,2,3.57E-04,25,30,3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
0, Greedy-CNT-D,1,1.000833511,0.250208378,4,2,2,5.99E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|2|2|2|2|3
0, Greedy-CNT-C,1,1.003210672,0.250802668,4,2,2,4.83E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|2|2|2|2|3
0, MILP-OPT,2,0.80058075,0.200145187,4,2,2,60.00559647,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|2|2|2|2|3
1, SMP-USER,1,1.364704147,0.341176037,4,2,2,0.00159468,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|2|2|2|2
1, SMP-SERVER,1,1.364704147,0.341176037,4,2,2,0.002037408,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|2|2|2|2
1, Greedy-DT,1,1.389169979,0.347292495,4,2,2,3.73E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|3|3
1, Greedy-CK,1,1.388076639,0.34701916,4,2,2,3.19E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|3|3
1, Greedy-RD,1,1.389174229,0.347293557,4,2,2,3.56E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|3|3
1, BALANCE,1,1.689590242,0.422397561,4,2,2,2.79E-04,25,30,3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
1, Greedy-CNT-D,1,1.484623172,0.371155793,4,2,2,4.14E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|2|2|2|2|2|2|2
1, Greedy-CNT-C,1,1.483822905,0.370955726,4,2,2,4.11E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|2|2|2|2|2|2|2
1, MILP-OPT,2,1.278010316,0.319502579,4,2,2,60.01157793,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|2|3
2, SMP-USER,1,1.172442704,0.293110676,4,2,2,0.001990715,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|2|2|3|3
2, SMP-SERVER,1,1.254054213,0.313513553,4,2,2,0.002297166,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|2|2|2|2
2, Greedy-DT,1,1.456636112,0.364159028,4,2,2,4.18E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|3|3
2, Greedy-CK,1,1.456362317,0.364090579,4,2,2,4.08E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|3|3
2, Greedy-RD,1,1.456365358,0.364091339,4,2,2,4.54E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|3|3
2, BALANCE,1,1.61199747,0.402999368,4,2,2,3.31E-04,25,30,3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
2, Greedy-CNT-D,1,1.348501606,0.337125401,4,2,2,5.75E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|2|2|3|3
2, Greedy-CNT-C,1,1.352069294,0.338017324,4,2,2,5.19E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|2|2|3|3
2, MILP-OPT,2,1.15146716,0.28786679,4,2,2,60.0069408,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|2|2|3|3
3, SMP-USER,1,1.060193728,0.265048432,4,2,2,0.001439876,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|3|3
3, SMP-SERVER,1,1.150945456,0.287736364,4,2,2,0.001859461,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|2|3
3, Greedy-DT,1,1.521885904,0.380471476,4,2,2,3.73E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|3|3
3, Greedy-CK,1,1.521885904,0.380471476,4,2,2,3.94E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|3|3
3, Greedy-RD,1,1.521885904,0.380471476,4,2,2,4.95E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|3|3
3, BALANCE,1,1.918688271,0.479672068,4,2,2,3.10E-04,25,30,3, 0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
3, Greedy-CNT-D,1,1.387168804,0.346792201,4,2,2,4.69E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|2|2|2|2|3
3, Greedy-CNT-C,1,1.387620135,0.346905034,4,2,2,4.48E-04,25,30,3, 0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|2|2|2|2|3
